Date,Open,High,Low,Close,Adj Close,Volume
2010-08-20,81.000000,81.440002,80.110001,80.660004,55.313633,4355400
2010-08-23,81.010002,82.300003,80.900002,81.080002,55.601643,3243400
2010-08-24,80.199997,81.000000,79.470001,80.449997,55.169613,4475900
2010-08-25,80.010002,81.099998,79.470001,80.750000,55.375351,3577100
2010-08-26,81.260002,81.330002,79.500000,79.779999,54.710175,3577000
2010-08-27,80.120003,81.089996,79.199997,81.000000,55.546795,3445900
2010-08-30,80.559998,80.680000,79.580002,79.650002,54.621021,2408400
2010-08-31,79.559998,80.199997,78.400002,78.550003,53.866676,4956000
2010-09-01,79.510002,81.099998,79.290001,81.010002,55.553650,4507000
2010-09-02,81.440002,81.889999,80.830002,81.870003,56.143410,2477800
2010-09-03,82.580002,83.709999,82.559998,83.480003,57.247494,2939700
2010-09-07,83.230003,83.379997,82.019997,82.139999,56.328556,3099200
2010-09-08,82.209999,83.709999,82.209999,82.750000,56.746868,2787000
2010-09-09,83.919998,84.080002,82.480003,82.959999,56.890881,2471700
2010-09-10,82.870003,84.070000,82.650002,83.940002,57.562943,2166300
2010-09-13,84.559998,84.970001,84.209999,84.860001,58.193836,2863500
2010-09-14,84.680000,85.000000,84.019997,84.629997,58.036121,3319500
2010-09-15,84.470001,84.750000,83.620003,84.580002,58.001835,2175900
2010-09-16,84.019997,85.000000,83.940002,84.949997,58.255550,2431800
2010-09-17,85.339996,86.169998,85.089996,86.070000,59.023609,5967100
2010-09-20,86.260002,87.629997,86.059998,87.410004,59.942524,3657900
2010-09-21,86.650002,87.620003,86.059998,86.550003,59.352776,3680200
2010-09-22,86.570000,87.160004,86.129997,86.629997,59.407631,2473000
2010-09-23,85.860001,86.750000,85.349998,85.529999,58.653297,1994000
2010-09-24,86.410004,87.470001,85.790001,86.959999,59.633938,3420400
2010-09-27,86.860001,87.110001,86.070000,86.190002,59.105927,2494700
2010-09-28,86.650002,87.320000,85.440002,87.040001,59.688805,2582600
2010-09-29,86.660004,87.650002,86.320000,87.169998,59.777946,2915700
2010-09-30,87.779999,88.000000,86.209999,86.709999,59.462494,3634700
2010-10-01,87.379997,87.889999,86.900002,87.620003,60.086536,3200900
2010-10-04,87.290001,87.730003,86.110001,86.699997,59.455647,2286300
2010-10-05,87.309998,89.000000,87.309998,88.860001,60.936867,4612200
2010-10-06,88.660004,89.900002,88.660004,89.889999,61.643234,4137400
2010-10-07,89.860001,89.919998,88.440002,88.900002,60.964329,3321900
2010-10-08,89.820000,89.820000,88.430000,89.160004,61.142605,2264400
2010-10-11,89.480003,89.500000,87.970001,88.250000,60.518574,2605900
2010-10-12,87.919998,88.540001,86.779999,88.150002,60.449997,2501400
2010-10-13,88.129997,89.730003,88.129997,89.139999,61.128902,3179900
2010-10-14,89.150002,89.260002,88.360001,89.070000,61.080921,2313700
2010-10-15,89.750000,89.889999,88.370003,89.139999,61.128902,3097100
2010-10-18,89.089996,89.919998,88.690002,89.660004,61.485519,2692000
2010-10-19,88.750000,88.959999,87.510002,88.550003,60.724297,3888100
2010-10-20,88.730003,89.949997,88.599998,89.470001,61.355202,2819400
2010-10-21,89.870003,90.900002,89.720001,90.550003,62.095814,5633800
2010-10-22,90.449997,90.629997,90.019997,90.440002,62.020412,2310800
